cmi_ix_s06|sub-basin average June climate moisture index (index value)
cmi_ix_s07|sub-basin average July climate moisture index (index value)
cmi_ix_s08|sub-basin average August climate moisture index (index value)
cmi_ix_s09|sub-basin average September climate moisture index (index value)
cmi_ix_s10|sub-basin average October climate moisture index (index value)
cmi_ix_s11|sub-basin average November climate moisture index (index value)
cmi_ix_s12|sub-basin average December climate moisture index (index value)
snw_pc_syr|sub-basin annual average snow cover extent (percent)
snw_pc_uyr|total watershed annual average snow cover extent (percent)
snw_pc_smx|sub-basin annual maximum snow cover extent (percent)
snw_pc_s01|sub-basin average January snow cover extent (percent)
snw_pc_s02|sub-basin average February snow cover extent (percent)
snw_pc_s03|sub-basin average March snow cover extent (percent)
snw_pc_s04|sub-basin average April snow cover extent (percent)
snw_pc_s05|sub-basin average May snow cover extent (percent)
snw_pc_s06|sub-basin average June snow cover extent (percent)
snw_pc_s07|sub-basin average July snow cover extent (percent)
snw_pc_s08|sub-basin average August snow cover extent (percent)
snw_pc_s09|sub-basin average September snow cover extent (percent)
snw_pc_s10|sub-basin average October snow cover extent (percent)
snw_pc_s11|sub-basin average November snow cover extent (percent)
snw_pc_s12|sub-basin average December snow cover extent (percent)
glc_cl_smj|sub-basin spatial majority land cover classes (classes 22)
glc_pc_s01|sub-basin percentage of forest land cover class 1 (broadleaf evergreen forest)
glc_pc_s02|sub-basin percentage of forest land cover class 2 (needleleaf evergreen forest)
glc_pc_s03|sub-basin percentage of forest land cover class 3 (broadleaf deciduous forest)
glc_pc_s04|sub-basin percentage of forest land cover class 4 (needleleaf deciduous forest)
glc_pc_s05|sub-basin percentage of forest land cover class 5 (mixed forest)
glc_pc_s06|sub-basin percentage of forest land cover class 6 (shrubland)
glc_pc_s07|sub-basin percentage of forest land cover class 7 (grassland)
glc_pc_s08|sub-basin percentage of forest land cover class 8 (wetland)
glc_pc_s09|sub-basin percentage of forest land cover class 9 (tundra)
glc_pc_s10|sub-basin percentage of forest land cover class 10 (desert)
glc_pc_s11|sub-basin percentage of forest land cover class 11 (urban)
glc_pc_s12|sub-basin percentage of forest land cover class 12 (water)
glc_pc_s13|sub-basin percentage of forest land cover class 13 (ice)
glc_pc_s14|sub-basin percentage of forest land cover class 14 (bare soil)
glc_pc_s15|sub-basin percentage of forest land cover class 15 (agricultural)
glc_pc_s16|sub-basin percentage of forest land cover class 16 (plantation)
glc_pc_s17|sub-basin percentage of forest land cover class 17 (mangrove)
glc_pc_s18|sub-basin percentage of forest land cover class 18 (bamboo)
glc_pc_s19|sub-basin percentage of forest land cover class 19 (savanna)
glc_pc_s20|sub-basin percentage of forest land cover class 20 (tropical rainforest)
glc_pc_s21|sub-basin percentage of forest land cover class 21 (temperate rainforest)
glc_pc_s22|sub-basin percentage of forest land cover class 22 (unknown)
glc_pc_u01|total watershed percentage of forest land cover class 1 (broadleaf evergreen forest)
glc_pc_u02|total watershed percentage of forest land cover class 2 (needleleaf evergreen forest)
glc_pc_u03|total watershed percentage of forest land cover class 3 (broadleaf deciduous forest)
glc_pc_u04|total watershed percentage of forest land cover class 4 (needleleaf deciduous forest)
glc_pc_u05|total watershed percentage of forest land cover class 5 (mixed forest)
glc_pc_u06|total watershed percentage of forest land cover class 6 (shrubland)
glc_pc_u07|total watershed percentage of forest land cover class 7 (grassland)
glc_pc_u08|total watershed percentage of forest land cover class 8 (wetland)
glc_pc_u09|total watershed percentage of forest land cover class 9 (tundra)
glc_pc_u10|total watershed percentage of forest land cover class 10 (desert)
glc_pc_u11|total watershed percentage of forest land cover class 11 (urban)
glc_pc_u12|total watershed percentage of forest land cover class 12 (water)
glc_pc_u13|total watershed percentage of forest land cover class 13 (ice)
glc_pc_u14|total watershed percentage of forest land cover class 14 (bare soil)
glc_pc_u15|total watershed percentage of forest land cover class 15 (agricultural)
glc_pc_u16|total watershed percentage of forest land cover class 16 (plantation)
glc_pc_u17|total watershed percentage of forest land cover class 17 (mangrove)
glc_pc_u18|total watershed percentage of forest land cover class 18 (bamboo)
glc_pc_u19|total watershed percentage of forest land cover class 19 (savanna)
glc_pc_u20|total watershed percentage of forest land cover class 20 (tropical rainforest)
glc_pc_u21|total watershed percentage of forest land cover class 21 (temperate rainforest)
glc_pc_u22|total watershed percentage of forest land cover class 22 (unknown)
pnv_cl_smj|sub-basin potential natural vegetation spatial majority classes (classes 15)
pnv_pc_s01|sub-basin percentage of potential natural vegetation class 1 (broadleaf evergreen forest)
pnv_pc_s02|sub-basin percentage of potential natural vegetation class 2 (needleleaf evergreen forest)
pnv_pc_s03|sub-basin percentage of potential natural vegetation class 3 (broadleaf deciduous forest)
pnv_pc_s04|sub-basin percentage of potential natural vegetation class 4 (needleleaf deciduous forest)
pnv_pc_s05|sub-basin percentage of potential natural vegetation class 5 (mixed forest)
pnv_pc_s06|sub-basin percentage of potential natural vegetation class 6 (shrubland)
pnv_pc_s07|sub-basin percentage of potential natural vegetation class 7 (grassland)
pnv_pc_s08|sub-basin percentage of potential natural vegetation class 8 (wetland)
